Project ID,Donation ID,Donor ID,Donation Included Optional Donation,Donation Amount,Donor Cart Sequence,Donation Received Date
a013ac6ededa4e161b3dbd5ce9a1fa6f,0f1259e0a18ff6b6b535106e122c9a56,17fc695a07a0ca6e0822e8f36c031199,No,2219.27,2,2016-06-10 07:17:42
b09b2a5cbadcc32ac1590f538a0f4efb,21df306f8a0b3c3336d8393a7c441fe7,366eb16f508ebad7b7c93acfe059a0ee,Yes,44.02,8,2017-04-06 13:12:06
5cec4eb5edd968311ca35cfb04fc6d82,5ab33edf6e595ed3a8b317fa18d0752b,aefcfad8efc89849b3aa7efe4458a885,Yes,112.07,11,2016-10-31 20:06:03
1064005c3985c3cf3f76be1d1efa2197,ccf3a17156dc8907ba6c34ab6712303a,b74d0fb132e706298fadc1a606cb0fb3,Yes,36.63,8,2015-05-24 13:11:17
5715bd6fa4161293c4c2e2e3444ea7c8,ec5b227cdfde4fbf3ff350bf766ecb15,3eabedcbbaa80dd488bd64072bcfbe01,No,129.84,2,2015-02-21 20:34:53
66245bfa4fcca39ab683d2e6337ea2df,ed2662e917e011b7f810238303c72ba8,759cde66bacfb3d00b1f9163ce9ff57f,Yes,77.99,4,2017-06-04 12:57:03
7d15438552fbe43b99546eb400257ad1,fc3d3348008d4127610461e32a25a888,ec1b8ca1f91e1d4c1ff49b7889463e85,No,119.92,5,2016-03-09 22:46:50
b8db0672f42d47cc00d4af5974273ca3,7c967f79b7e99acaa97065e18e46d534,1a2a73ed562b0f79c37459eef50bea63,Yes,145.62,10,2017-01-23 17:03:47
3da9c2a90ed42f1a3d4cbf374eb93eff,958ca9ba0cd620c20ea2622b504867ba,0e51f30dc6a7ee39c4b032ccd7c524a5,No,84.36,1,2017-09-10 16:05:54
9b49bd26df57c59a8715a10343dac043,1165e21098543881118a9d292f923996,759cde66bacfb3d00b1f9163ce9ff57f,Yes,141.82,10,2015-09-10 18:38:02
885f6e66c2b6d2c5fa5d310011b7e948,a8499b926b5252e314fcdd549e8fc965,366eb16f508ebad7b7c93acfe059a0ee,Yes,140.86,4,2016-11-16 22:20:15
2a45c2ab8cbfedb0f264accc79ac1b1e,abf3e3fc21813d25655238a643ff5011,3139d32c93cd59bf5c941cf0dc98d2c1,Yes,140.06,15,2015-03-16 00:29:39
5715bd6fa4161293c4c2e2e3444ea7c8,19985f15ff002d4d902059e4ff9ab5c2,10f1bc81448aaa9e66b2bc5b50c187fc,Yes,47.13,15,2015-12-24 02:56:15
7394988f847fd9b4e64d1bcb702753a1,702cdd20286218b848f4ef125e9953d2,10f1bc81448aaa9e66b2bc5b50c187fc,No,95.63,13,2016-10-31 16:00:42
9b49bd26df57c59a8715a10343dac043,ee87905e4ca415ea8dfa6a56d12dbc9a,b74d0fb132e706298fadc1a606cb0fb3,No,28.8,2,2017-06-30 03:47:35
81f76d1c2dbc2134c30ff46e8026695f,9ad620ab48212ddb45b89cd927cb6f2a,28f49481a0a04dc427209bdf1c11f735,Yes,1874.99,14,2015-09-28 16:31:16
5715bd6fa4161293c4c2e2e3444ea7c8,0d01280fd89a40c0e87d1c78e7c421c7,bf3c4c06434308bc89fa6a688fb5d27b,Yes,48.74,1,2015-12-08 04:40:16
edcd465e36386821f6e07cc06c52c49f,8d3aed99711c21c9bdc14f1f295d6fbf,a28defe39bf0027312476f57a5e5a5ab,Yes,25.66,15,2016-12-08 04:34:02
b8db0672f42d47cc00d4af5974273ca3,8d7248e2951f58d05e84f058d5a804eb,a28defe39bf0027312476f57a5e5a5ab,Yes,53.16,15,2017-08-13 01:57:22
287d06ca6f4cc69a4b22d3081c8eaee9,aabc25fa3fe12e47ae9bec3635c7936c,ddd1dfb23b982ef8daf61a26146d3f31,No,133.78,7,2017-09-24 19:47:09
f8cda88b436d76e2b83cfe0be037e5ed,dd56cc943c9ad14cee0caeb5ecfedb99,371ecd7b27cd813047229389571aa876,No,13.47,12,2017-08-04 10:50:59
b09b2a5cbadcc32ac1590f538a0f4efb,dd334cc7ab7f089acd5f4822696608aa,759cde66bacfb3d00b1f9163ce9ff57f,Yes,120.23,2,2016-01-27 01:54:30
ce88cb2dd4e80839fc3e058be0f3eab0,eb1fa9f2d10bd1d03317347038f16a81,ddd1dfb23b982ef8daf61a26146d3f31,Yes,121.35,4,2015-08-17 00:42:12
5715bd6fa4161293c4c2e2e3444ea7c8,dd463c09475287aa5408f9ac6601ddd0,f143262fdc5c0eed8da0365bf89897b9,Yes,99.81,7,2016-11-26 17:21:01
f8cda88b436d76e2b83cfe0be037e5ed,42deffccf86c2ca2e08596db1d870966,e27a984d654821d07fcd9eb1a7cad415,No,47.17,2,2016-09-02 13:22:46
14296c07f26b4776913e4de2e0c53cb8,9b3080d56fb78271504d281fc9535b63,6b65a6a48b8148f6b38a088ca65ed389,Yes,90.72,5,2015-02-15 22:27:00
9b49bd26df57c59a8715a10343dac043,89d7fd6cce777f00ecf27e7685197ff4,98ae43346c12ace8ae340454cac5b68c,No,113.19,4,2016-01-08 13:04:42
9b49bd26df57c59a8715a10343dac043,505cc6869f871ce75487fd4febb7a385,6b65a6a48b8148f6b38a088ca65ed389,No,52.05,5,2016-11-13 13:20:25
81f76d1c2dbc2134c30ff46e8026695f,2095eef68dedf9fb4bb00f20b27c4026,aefcfad8efc89849b3aa7efe4458a885,Yes,63.08,12,2017-07-13 05:39:36
1d53434bb88139b9ae270da702f06b90,d56f03508c459ce267f48ad54d0b0d1a,3139d32c93cd59bf5c941cf0dc98d2c1,Yes,70.18,10,2016-09-13 20:20:29
14296c07f26b4776913e4de2e0c53cb8,36b5229aacf5e81e713162697118e364,b02b61c4a3d70628ece66fa2fd5166e6,No,2419.66,12,2015-06-23 21:05:18
f4188f3f8a14be62295b4715c333e861,9e87e04ca2086977a9f2533683f4a9a9,9a1de644815ef6d13b8faa1837f8a88b,No,115.16,11,2015-11-14 07:51:12
3da9c2a90ed42f1a3d4cbf374eb93eff,3eae00320bd4a9900640be0f25b8fd4b,beb799193f22faf823bed01d43cf2fde,No,20.2,7,2017-06-26 20:36:12
7d15438552fbe43b99546eb400257ad1,7e8f8095624c69b6b24445a7b7e58481,759cde66bacfb3d00b1f9163ce9ff57f,Yes,106.27,15,2017-02-07 03:49:27
edcd465e36386821f6e07cc06c52c49f,f53d4330cdda24ba2d06e8cf3805f907,ce177b4e0837b8a3d261a7ab3aa2e4f9,Yes,88.04,15,2017-05-18 03:29:08
d0e6e6607c69dee1bb5e4bcf15ed6269,87f8424daae65fc176f2dbfecd29a36f,24933b83757750a9a491f0b2ea1fca65,Yes,115.74,8,2016-09-19 23:57:32
ce88cb2dd4e80839fc3e058be0f3eab0,8c41561be827a1b9d4a02e536d3ee1dc,6c307511b2b9437a28df6ec4ce4a2bbd,No,76.45,5,2017-02-08 07:53:40
3da9c2a90ed42f1a3d4cbf374eb93eff,8573e793c715b2b9c40c5d9146fde062,bf3c4c06434308bc89fa6a688fb5d27b,Yes,71.58,12,2015-10-20 07:17:21
b8db0672f42d47cc00d4af5974273ca3,14a0bccb8a476a87e49d681d51d87c64,c241330b01a9e71fde8a774bcf36d58b,Yes,107.15,12,2015-08-08 02:26:26
c03987108976e334e2817efdae849217,6a702e2f7746d0ba8ae8905b54b4a482,5be6128e18c267976142ea7d17be3111,No,64.53,13,2016-08-21 22:01:54
3da9c2a90ed42f1a3d4cbf374eb93eff,6160a6b49360715fc3fe0183e172b725,bdd640fb06671ad11c80317fa3b1799d,No,51.81,7,2017-05-23 13:34:47
8dcdcd03969b666205628059568cc69b,9a6ec2f5ccc429038bcf53a1bc10fa52,43b7a3a69a8dca03580d7b71d8f56413,Yes,48.21,8,2015-01-30 12:21:42
f8cda88b436d76e2b83cfe0be037e5ed,b963f37f67814c1fcc530e36addc3e13,451b4cf36123fdf77656af7229d4beef,No,60000.0,10,2016-06-30 00:58:25
5715bd6fa4161293c4c2e2e3444ea7c8,06f028ffa9ba5a27907bfe36978648f8,956269f0e5d7b8756dadd6c795a76d79,Yes,131.36,3,2015-02-21 08:24:20
66245bfa4fcca39ab683d2e6337ea2df,56666f9f53ac2ab974672cd9362f5e5c,29a3b2e95d65a441d58842dea2bc372f,Yes,143.17,7,2015-09-16 02:30:01
eb2263dd87c5421eec24a3c5c754108f,fff9f5850d557b618a175dfebfc00dc8,43b7a3a69a8dca03580d7b71d8f56413,Yes,2062.47,11,2015-02-11 00:15:12
a013ac6ededa4e161b3dbd5ce9a1fa6f,2702878b9f0fda8d05379ff6d6d7b3b8,4737819096da1dac72ff5d2a386ecbe0,Yes,26.01,4,2016-04-21 22:16:49
b09b2a5cbadcc32ac1590f538a0f4efb,9b7492459b1bc8952af43ab75e6fea07,28f49481a0a04dc427209bdf1c11f735,Yes,124.7,5,2015-04-21 18:01:59
7d15438552fbe43b99546eb400257ad1,e87466d7ad66a1bd93676a024fdc6e1b,ab9099a435a240ae5af305535ec42e08,No,37.77,10,2016-12-08 20:15:06
9b49bd26df57c59a8715a10343dac043,d9acd1584d3485c5c5c14eb4b27b3d90,24933b83757750a9a491f0b2ea1fca65,No,121.47,10,2017-03-12 01:22:34
14296c07f26b4776913e4de2e0c53cb8,11a726095eddbbbfa95976636daa2e68,956269f0e5d7b8756dadd6c795a76d79,Yes,128.94,14,2016-05-16 03:27:23
edcd465e36386821f6e07cc06c52c49f,75b17a55d4262982e43e4288a2b5b498,c241330b01a9e71fde8a774bcf36d58b,Yes,112.73,11,2015-10-04 19:51:58
5cec4eb5edd968311ca35cfb04fc6d82,7701f7bb7bc67e1fc64ee6e389c5b31a,98ae43346c12ace8ae340454cac5b68c,Yes,55.12,4,2017-04-30 02:17:56
885f6e66c2b6d2c5fa5d310011b7e948,76f72255c01f36bf3e6dd58b7367c28d,beb799193f22faf823bed01d43cf2fde,Yes,57.1,8,2017-05-21 10:11:31
f4188f3f8a14be62295b4715c333e861,4223623bcc3ebdde5ad5cf06364d7c87,4b0dbb418d5288f1142c3fe860e7a113,No,108.17,5,2016-07-23 00:33:12
