Donor ID,Donor City,Donor State,Donor Is Teacher,Donor Zip
765e1390ba3548bd929612ba2554c44f,Abbeville,Mississippi,No,386
3e44911f3821457fb7867275016f083d,Abbeville,Mississippi,No,386
d51d6868177f4360ade08130c4e6db59,Abbeville,Mississippi,No,386
2dd5199a106e4954855aba1f238a4b0f,Arkabutla,Mississippi,No,386
d2a608ac805f44e7a2595db1dd5e746a,Arkabutla,Mississippi,No,386
11d3785e74714eef8e2f6e18015fc91a,Ashland,Mississippi,No,386
50a16c56561543b6af77145618017bf7,Ashland,Mississippi,No,386
4185059a33944e27a88beef1b9b25959,Ashland,Mississippi,No,386
4de68a114de34a96b9a0c531dd3e5661,Batesville,Mississippi,No,386
fa52859ce1b942f58ec64713555d84e6,Batesville,Mississippi,No,386
2042c04d53fb48fd98a5711bce8a75e9,Batesville,Mississippi,No,386
903d3161b04642878200eeb245ec6e2e,Belen,Mississippi,No,386
599e2dbbf557498e97431f2aedc7f600,Blue Mountain,Mississippi,Yes,386
50b2e5c2bb9b46bf89ee7cf85192e4db,Blue Mountain,Mississippi,No,386
c6e930284fbf4c3a8dbf78e2a18d90bf,Blue Mountain,Mississippi,No,386
968182a79a804e50b23e6181c70aff0e,Byhalia,Mississippi,No,386
6e4e3ac5cfc64bd6af1bdd76fb94b380,Clarksdale,Mississippi,No,386
308dfe69651246cca3d963196b6bd9cd,Clarksdale,Mississippi,Yes,386
84c8aab15f564c389e208fe77df1271f,Clarksdale,Mississippi,No,386
e5a99c05135a4498a7969d6ae812d841,Coahoma,Mississippi,No,386
a02cb920a7194f73971f2b45812a6f6f,Coahoma,Mississippi,No,386
bd3dcceb8c9c4aab80377e72372dd616,Coldwater,Mississippi,No,386
71c47cbe87c74c768cee13bd72c3b4ef,Como,Mississippi,No,386
52ed94cb569646789c7dc7f8048de99f,Como,Mississippi,No,386
d5c82cd316ae4299bc9d52e46fc64307,Como,Mississippi,No,386
c8966575489b4582b53c0e961967d8c4,Courtland,Mississippi,No,386
f9fb540de90b407ea62ec51b5dfa96a7,Courtland,Mississippi,No,386
55231d19388e400ea09eec0a8cc9461e,Crenshaw,Mississippi,No,386
9f7b2fbc7b4a43399c67aae27e60cf6b,Crenshaw,Mississippi,No,386
f693980762884b7b9efabfd7d0a339f5,Crowder,Mississippi,Yes,386
f39cc2cf65a643e8a37f0f0d160cf567,Crowder,Mississippi,No,386
8e70d28fc6284ab5a54e28f8b143eabc,Darling,Mississippi,No,386
5a5ab0135c4b488594df36f1e539fbf1,Dumas,Mississippi,No,386
94145c6e7b82496d8564701d6618a68e,Dumas,Mississippi,No,386
f2fa575e7fb545649fca42ff34180d1f,Dumas,Mississippi,No,386
d78a3ed7e29c451e89e0001d23bbea52,Dundee,Mississippi,No,386
4f7a8727717c493aa8d33908e524d96c,Etta,Mississippi,No,386
68f2dbe80b144c95ba4a47b2a64ac4fb,Etta,Mississippi,No,386
b4f8f718ec12470c99b600c4b37374f1,Falcon,Mississippi,No,386
0c7fb70534ef45c989148c31ae0e9c41,Falcon,Mississippi,Yes,386
f2d24ae6c18b4834a38a5bda0eebe2f2,Falkner,Mississippi,No,386
161062cce1984e08945f2872dc436659,Farrell,Mississippi,No,386
4b20eb9e58c44e3091aad913bfd2c7ca,Farrell,Mississippi,No,386
586afc77ce5447f98d533d455eeb985c,Farrell,Mississippi,No,386
30dfc995ee3e470a85807f2982884a69,Friars Point,Mississippi,No,386
bdfed3f8c0cf41a8bec7f08e9cb5cfe6,Friars Point,Mississippi,No,386
5dc342e34673495e923e94e94b0793cb,Hernando,Mississippi,No,386
ca0af73901884282bb544a423f9cbf91,Hernando,Mississippi,No,386
f20c4052ef644ff086adc01467623f8e,Hickory Flat,Mississippi,No,386
5e5d0fece5004b87979cb7e282092084,Hickory Flat,Mississippi,Yes,386
1c6df325cae44f958534d3af7190a291,Holly Springs,Mississippi,No,386
6607895c28184ebca2c20e6ffaef3bed,Horn Lake,Mississippi,Yes,386
217e7c7fd94b49538b54e42e1dbac359,Horn Lake,Mississippi,Yes,386
097d8d042918464a8ba25080c5e84778,Horn Lake,Mississippi,No,386
7cd68e08cc0b49b098714b4ace145885,Horn Lake,Mississippi,No,386
fa487e258b7448ffb1dd63f3d5f86463,Horn Lake,Mississippi,No,386
e05c3341ae5e495dafec0b40a292ea2e,Horn Lake,Mississippi,No,386
5d26bcd132ae496abc9ffb3f33428950,Horn Lake,Mississippi,No,386
8f54997d98ed4082857b63a33a28b301,Horn Lake,Mississippi,No,386
47a1fa10bb544db993c542edc59c720c,Horn Lake,Mississippi,No,386
c5395fa70e81400f861c1b6d172c5745,Horn Lake,Mississippi,No,386
dcce0f3ddb554ac7b8c4f175960379f5,Horn Lake,Mississippi,No,386
abe567d3a6974a9489482c0ed1b7b8de,Horn Lake,Mississippi,No,386
fca534cbe92d4c458660f0139ca03545,Horn Lake,Mississippi,No,386
7ed51340c7574d628c8dff04f2e4bedc,Horn Lake,Mississippi,No,386
6eeda03b9a644ad49d1104a3c0036fb1,Horn Lake,Mississippi,Yes,386
3a275169107744d18d4cc923fdef83e0,Horn Lake,Mississippi,No,386
26381cb843e0467b9517b3762267fe66,Horn Lake,Mississippi,No,386
0a43cfe6d0ee4455bdc349f511ae04ba,Horn Lake,Mississippi,No,386
3e785af0d9f84c50b41ddc02366abef3,Horn Lake,Mississippi,No,386
7af127ff462a439d88cb308f30a8e17d,Horn Lake,Mississippi,No,386
b26bfc326753498daf280bc76d15ea24,Horn Lake,Mississippi,No,386
1948e508a6bd4de4be661d3e97e88cea,Horn Lake,Mississippi,No,386
f16a5e624a684ff5ad72cd6970751996,Horn Lake,Mississippi,No,386
766304f9092b442fb38d27a7f3514a21,Horn Lake,Mississippi,Yes,386
3712b4c3568d4727b28be0ce6b4c6fc3,Horn Lake,Mississippi,Yes,386
95287ff6cf4a48b8b8426fdf78de7c52,Horn Lake,Mississippi,No,386
860858ec0e334ab2ac95d8d8246ff369,Horn Lake,Mississippi,Yes,386
95dfc23ca78747d697d236b135797120,Horn Lake,Mississippi,No,386
e640f3b3f2994f599f6a3a379e5e22dc,Horn Lake,Mississippi,No,386
f8a69c9285b94e4690256b5579ad2b15,Horn Lake,Mississippi,No,386
1713cbba06f34506ab23318f42d2d895,Horn Lake,Mississippi,No,386
692ccb16112f446fb336e9f2a75c9fc3,Horn Lake,Mississippi,No,386
793d31cc21804ffcb8c80de04c08765f,Horn Lake,Mississippi,No,386
ba69782ad46c45c8aba697dc42a51e9b,Horn Lake,Mississippi,No,386
56c7300b5af24a3da92babf4545f5261,Horn Lake,Mississippi,No,386
cbe4c7f9004646c093c0256f8a3ed21b,Horn Lake,Mississippi,No,386
0617a54e6a0041e58d5fe50855ded335,Horn Lake,Mississippi,No,386
